index,team,schedule_season,team_year,sec_play_total,sec_play_neutral,sec_play_composite
406,BUF,2009,BUF2009,28.64,31.09,29.865
407,NE,2009,NE2009,28.72,30.27,29.495
408,LAC,2009,SD2009,28.73,30.47,29.6
409,NYJ,2009,NYJ2009,28.87,30.23,29.55
410,NYG,2009,NYG2009,28.99,32.24,30.615
411,MIN,2009,MIN2009,29.12,31.58,30.35
412,GB,2009,GB2009,29.44,30.55,29.995
413,DAL,2009,DAL2009,29.58,31.91,30.745
414,SF,2009,SF2009,29.64,32.23,30.935
415,CIN,2009,CIN2009,30.01,32.74,31.375
416,PIT,2009,PIT2009,30.22,32.74,31.48
417,DEN,2008,DEN2008,26.19,29.03,27.61
418,SEA,2008,SEA2008,26.75,28.4,27.575
419,CHI,2008,CHI2008,26.91,29.4,28.155
420,NO,2008,NO2008,27.25,29.94,28.595
421,NE,2008,NE2008,27.28,29.04,28.16
422,PHI,2008,PHI2008,27.57,29.17,28.37
423,KC,2008,KC2008,27.58,31.33,29.455
424,DET,2008,DET2008,27.69,31.69,29.69
425,IND,2008,IND2008,27.73,29.5,28.615
426,CLE,2008,CLE2008,27.74,30.35,29.045
427,CIN,2008,CIN2008,27.84,31.04,29.44
428,LAR,2008,STL2008,27.88,30.69,29.285
429,TEN,2008,TEN2008,27.98,28.5,28.24
430,ARI,2008,ARI2008,28.24,30.22,29.23
431,WAS,2008,WAS2008,28.43,30.59,29.51
432,SF,2008,SF2008,28.53,31.94,30.235
433,TB,2008,TB2008,28.55,31.26,29.905
434,MIN,2008,MIN2008,28.68,31.25,29.965
435,ATL,2008,ATL2008,28.81,29.64,29.225
436,LV,2008,OAK2008,28.81,31.94,30.375
437,DAL,2008,DAL2008,28.89,31.45,30.17
438,BUF,2008,BUF2008,29.02,32.4,30.71
439,GB,2008,GB2008,29.02,31.71,30.365
440,LAC,2008,SD2008,29.06,31.03,30.045
441,PIT,2008,PIT2008,29.18,31.72,30.45
442,CAR,2008,CAR2008,29.19,30.98,30.085
443,BAL,2008,BAL2008,29.27,29.83,29.55
444,HOU,2008,HOU2008,29.27,32.33,30.8
445,JAX,2008,JAX2008,29.36,33.04,31.2
446,NYJ,2008,NYJ2008,29.61,31.3,30.455
447,NYG,2008,NYG2008,30.22,31.82,31.02
448,MIA,2008,MIA2008,30.24,33.61,31.925
449,CHI,2007,CHI2007,25.57,28.99,27.28
450,SEA,2007,SEA2007,26.36,28.16,27.26
451,DET,2007,DET2007,26.61,30,28.305
452,NYJ,2007,NYJ2007,26.66,31.89,29.275
453,ATL,2007,ATL2007,27.08,29.73,28.405
454,CAR,2007,CAR2007,27.1,30.59,28.845
455,CIN,2007,CIN2007,27.15,30.36,28.755
456,IND,2007,IND2007,27.24,28.16,27.7
457,LAR,2007,STL2007,27.4,31.5,29.45
458,CLE,2007,CLE2007,27.43,30.77,29.1
459,PHI,2007,PHI2007,27.5,29.83,28.665
460,WAS,2007,WAS2007,27.54,29.88,28.71
461,NO,2007,NO2007,27.62,29.09,28.355
462,SF,2007,SF2007,27.64,32.21,29.925
463,BAL,2007,BAL2007,27.79,31.21,29.5
